Point,-11.8715,-77.0625,9
Point,-11.8766,-77.0602,9
Point,-11.8775,-77.0561,9
Point,-11.8708,-77.0621,9
Point,-11.8726,-77.0646,9
Point,-11.8728,-77.063,9
Point,-11.8735,-77.0609,9
Point,-11.8761,-77.0662,9
Point,-11.8684,-77.0615,25
Point,-11.8725,-77.0594,9
Point,-11.8736,-77.061,9
Point,-11.8769,-77.0676,9
Point,-11.8791,-77.068,9
Point,-11.8777,-77.0678,9
Point,-11.8732,-77.0636,9
Point,-11.8792,-77.0686,9
Point,-11.851,-77.0906,19
Point,-11.8509,-77.0908,19
Point,-11.8507,-77.0845,19
Point,-11.8494,-77.0883,19
Point,-11.8518,-77.0882,19
Point,-11.8386,-77.1049,12
Point,-11.8468,-77.0965,19
Point,-11.8513,-77.088,19
Point,-11.851,-77.0843,19
Point,-11.8513,-77.0894,19
Point,-11.8383,-77.1046,12
Point,-11.8501,-77.0881,19
Point,-11.8511,-77.0883,19
Point,-11.8528,-77.0853,19
Point,-11.8442,-77.0949,19
Point,-11.8493,-77.0904,19
Point,-11.849,-77.088,19
Point,-11.8476,-77.0844,19
Point,-11.8393,-77.1003,12
Point,-11.8422,-77.102,12
Point,-11.8553,-77.0855,19
Point,-11.8459,-77.0937,19
Point,-11.8524,-77.0869,19
Point,-11.8498,-77.0817,19
Point,-11.8425,-77.1006,12
Point,-11.8426,-77.1008,12
Point,-11.8502,-77.0839,19
Point,-11.8419,-77.1007,12
Point,-11.8423,-77.102,12
Point,-11.8437,-77.0987,12
Point,-11.8553,-77.0856,19
Point,-11.8533,-77.0845,19
Point,-11.8379,-77.1028,12
Point,-11.8503,-77.0833,19
Point,-11.8511,-77.0898,19
Point,-11.8417,-77.1027,12
Point,-11.8424,-77.101,12
Point,-11.851,-77.0806,25
Point,-11.8497,-77.0929,19
Point,-11.8474,-77.0851,19
Point,-11.8428,-77.1012,12
Point,-11.8516,-77.0843,19
Point,-11.8511,-77.0891,19
Point,-11.8537,-77.0878,19
Point,-11.8482,-77.0941,19
Point,-11.85,-77.0859,19
Point,-11.8512,-77.089,19
Point,-11.8508,-77.0856,19
Point,-11.8396,-77.1036,12
Point,-11.841,-77.1022,12
Point,-11.8453,-77.0952,19
Point,-11.8422,-77.1008,12
Point,-11.8475,-77.0853,19
Point,-11.8505,-77.0831,19
Point,-11.8511,-77.083,19
Point,-11.8527,-77.0854,19
Point,-11.8506,-77.0886,19
Point,-11.8481,-77.0852,19
Point,-11.8379,-77.1024,12
Point,-11.8704,-77.0235,4
Point,-11.8711,-77.0228,4
Point,-11.8738,-77.0244,4
Point,-11.8721,-77.0269,4
Point,-11.8765,-77.029,4
Point,-11.8685,-77.03,4
Point,-11.8736,-77.0331,4
Point,-11.8699,-77.0303,4
Point,-11.8776,-77.0288,4
Point,-11.877,-77.03,4
Point,-11.8757,-77.0271,4
Point,-11.8687,-77.0299,4
Point,-11.8765,-77.0313,4
Point,-11.8738,-77.0258,4
Point,-11.8719,-77.0245,4
Point,-11.8756,-77.0281,4
Point,-11.8703,-77.0231,4
Point,-11.873,-77.0296,4
Point,-11.8778,-77.0321,4
Point,-11.8708,-77.0323,4
Point,-11.8718,-77.0263,4
Point,-11.8727,-77.0293,4
Point,-11.8726,-77.0317,4
Point,-11.8752,-77.0316,4
Point,-11.8744,-77.0267,4
Point,-11.8705,-77.0328,4
Point,-11.8706,-77.0254,4
Point,-11.8692,-77.0279,4
Point,-11.8721,-77.0325,4
Point,-11.8722,-77.0316,4
Point,-11.8724,-77.0314,4
Point,-11.8718,-77.0236,4
Point,-11.8733,-77.0248,4
Point,-11.8702,-77.0247,4
Point,-11.8698,-77.0303,4
Point,-11.8677,-77.0305,4
Point,-11.8732,-77.0296,4
Point,-11.8693,-77.0304,4
Point,-11.8718,-77.023,4
Point,-11.8742,-77.028,4
Point,-11.8736,-77.0301,4
Point,-11.8749,-77.0262,4
Point,-11.868,-77.029,4
Point,-11.8673,-77.0307,4
Point,-11.9646,-77.0607,16
Point,-11.9657,-77.0595,16
Point,-11.9653,-77.0621,16
Point,-11.9662,-77.0619,16
Point,-11.9671,-77.061,16
Point,-11.9668,-77.0611,16
Point,-11.9657,-77.0651,16
Point,-11.9661,-77.06,16
Point,-11.9654,-77.0589,16
Point,-11.9686,-77.0582,16
Point,-11.9699,-77.0652,16
Point,-11.9685,-77.0593,16
Point,-11.9658,-77.059,16
Point,-11.9659,-77.0606,16
Point,-11.965,-77.0579,16
Point,-11.9694,-77.0654,16
Point,-11.9649,-77.0588,16
Point,-11.9664,-77.0653,16
Point,-11.9669,-77.0617,16
Point,-11.9647,-77.0582,16
Point,-11.9681,-77.0598,16
Point,-11.9709,-77.0612,16
Point,-11.9675,-77.061,16
Point,-11.9688,-77.0596,16
Point,-11.9649,-77.0581,16
Point,-11.9651,-77.0583,16
Point,-11.9682,-77.0617,16
Point,-11.966,-77.0601,16
Point,-11.9654,-77.0594,16
Point,-11.9662,-77.064,16
Point,-11.9655,-77.059,16
Point,-11.9699,-77.0614,16
Point,-11.9675,-77.0571,16
Point,-11.9654,-77.062,16
Point,-11.9692,-77.0596,16
Point,-11.9665,-77.0565,16
Point,-11.9678,-77.0631,16
Point,-11.9688,-77.0617,16
Point,-11.9661,-77.0601,16
Point,-11.9668,-77.0625,16
Point,-11.9658,-77.0619,16
Point,-11.9687,-77.0582,16
Point,-11.9664,-77.0619,16
Point,-11.9674,-77.061,16
Point,-11.9611,-77.0592,16
Point,-11.9668,-77.0642,16
Point,-11.968,-77.0608,16
Point,-11.923,-77.0842,6
Point,-11.9249,-77.0842,21
Point,-11.9215,-77.0827,6
Point,-11.924,-77.0819,21
Point,-11.9249,-77.0839,21
Point,-11.922,-77.0837,6
Point,-11.9272,-77.0785,21
Point,-11.9278,-77.079,21
Point,-11.9288,-77.0781,21
Point,-11.9207,-77.0847,6
Point,-11.9266,-77.0785,21
Point,-11.9261,-77.0846,21
Point,-11.9224,-77.0841,6
Point,-11.9247,-77.084,21
Point,-11.9281,-77.0785,21
Point,-11.923,-77.0809,21
Point,-11.9254,-77.0849,21
Point,-11.9265,-77.0835,21
Point,-11.9223,-77.0819,21
Point,-11.9259,-77.0819,21
Point,-11.926,-77.0845,21
Point,-11.9283,-77.0778,21
Point,-11.9261,-77.0821,21
Point,-11.9243,-77.0827,21
Point,-11.9231,-77.0816,21
Point,-11.9231,-77.082,21
Point,-11.9234,-77.0823,21
Point,-11.9248,-77.082,21
Point,-11.9268,-77.0833,21
Point,-11.9241,-77.0843,21
Point,-11.9255,-77.08,21
Point,-11.9244,-77.0839,21
Point,-11.9243,-77.0835,21
Point,-11.9264,-77.0799,21
Point,-11.9226,-77.082,21
Point,-11.9262,-77.0847,21
Point,-11.9258,-77.0831,21
Point,-11.9235,-77.0815,21
Point,-11.9244,-77.0816,21
Point,-11.9267,-77.0804,21
Point,-11.9279,-77.079,21
Point,-11.923,-77.0819,21
Point,-11.9254,-77.0813,21
Point,-11.9237,-77.0823,21
Point,-11.9254,-77.0809,21
Point,-11.9256,-77.0844,21
Point,-11.925,-77.0819,21
Point,-11.9209,-77.0851,6
Point,-11.9243,-77.0833,21
Point,-11.9274,-77.0778,21
Point,-11.9206,-77.0846,6
Point,-11.9239,-77.0834,21
Point,-11.9819,-77.0765,5
Point,-11.9825,-77.0789,5
Point,-11.98,-77.0767,5
Point,-11.9815,-77.0793,5
Point,-11.9806,-77.0755,13
Point,-11.9819,-77.0768,5
Point,-11.9801,-77.0767,5
Point,-11.9812,-77.0769,5
Point,-11.9805,-77.0774,5
Point,-11.9776,-77.08,5
Point,-11.9814,-77.0757,13
Point,-11.9795,-77.0786,5
Point,-11.9823,-77.08,5
Point,-11.9806,-77.076,13
Point,-11.9829,-77.0796,5
Point,-11.9824,-77.0772,5
Point,-11.9812,-77.0765,5
Point,-11.978,-77.0782,5
Point,-11.9812,-77.0767,5
Point,-11.9825,-77.0768,5
Point,-11.9802,-77.0796,5
